location,issue_time,horizon_days,target_date,sst_issue,dhw_issue,sst_pred,dhw_pred,sst_persist,baseline_month_sst,anomaly,risk_score,risk_level,risk_name
hikkaduwa,2026-03-01 12:00:00+00:00,1,2026-03-02 12:00:00+00:00,28.15,0.0,28.211,0.0,28.15,29.3,-1.089,0.013,0,Healthy
hikkaduwa,2026-03-01 12:00:00+00:00,3,2026-03-04 12:00:00+00:00,28.15,0.0,28.245,0.0,28.15,29.3,-1.055,0.016,0,Healthy
hikkaduwa,2026-03-01 12:00:00+00:00,7,2026-03-08 12:00:00+00:00,28.15,0.0,28.309,0.0,28.15,29.3,-0.991,0.02,0,Healthy
kalpitiya,2026-03-01 12:00:00+00:00,1,2026-03-02 12:00:00+00:00,28.48,0.0,28.501,0.0,28.48,29.302,-0.801,0.018,0,Healthy
kalpitiya,2026-03-01 12:00:00+00:00,3,2026-03-04 12:00:00+00:00,28.48,0.0,28.528,0.0,28.48,29.302,-0.773,0.02,0,Healthy
kalpitiya,2026-03-01 12:00:00+00:00,7,2026-03-08 12:00:00+00:00,28.48,0.0,28.616,0.0,28.48,29.302,-0.686,0.026,0,Healthy
passikudha,2026-03-01 12:00:00+00:00,1,2026-03-02 12:00:00+00:00,27.73,0.0,27.793,0.0,27.73,29.074,-1.282,0.024,0,Healthy
passikudha,2026-03-01 12:00:00+00:00,3,2026-03-04 12:00:00+00:00,27.73,0.0,27.86,0.0,27.73,29.074,-1.214,0.029,0,Healthy
passikudha,2026-03-01 12:00:00+00:00,7,2026-03-08 12:00:00+00:00,27.73,0.0,27.973,0.0,27.73,29.074,-1.101,0.036,0,Healthy
south_east,2026-03-01 12:00:00+00:00,1,2026-03-02 12:00:00+00:00,27.49,0.0,27.578,0.0,27.49,29.109,-1.532,0.0,0,Healthy
south_east,2026-03-01 12:00:00+00:00,3,2026-03-04 12:00:00+00:00,27.49,0.0,27.658,0.0,27.49,29.109,-1.451,0.003,0,Healthy
south_east,2026-03-01 12:00:00+00:00,7,2026-03-08 12:00:00+00:00,27.49,0.0,27.786,0.0,27.49,29.109,-1.323,0.011,0,Healthy
trinco,2026-03-01 12:00:00+00:00,1,2026-03-02 12:00:00+00:00,27.66,0.0,27.723,0.0,27.66,28.936,-1.213,0.004,0,Healthy
trinco,2026-03-01 12:00:00+00:00,3,2026-03-04 12:00:00+00:00,27.66,0.0,27.791,0.0,27.66,28.936,-1.145,0.009,0,Healthy
trinco,2026-03-01 12:00:00+00:00,7,2026-03-08 12:00:00+00:00,27.66,0.0,27.911,0.0,27.66,28.936,-1.025,0.017,0,Healthy
