horizon_days,model,dhw_mae,dhw_rmse
1,persistence,0.0,0.0
1,ann_lstm,0.006837033138646365,0.016013621525175208
1,cnn_ann_lstm,0.001933796610895394,0.004241524999026674
1,forecast_head_6in,0.060343692395431435,0.0666620385060978
3,persistence,0.0,0.0
3,ann_lstm,0.007755548793940601,0.01889011284923431
3,cnn_ann_lstm,0.00245997148608956,0.00553750095969734
3,forecast_head_6in,0.06427270502847388,0.07140556492769413
7,persistence,0.0,0.0
7,ann_lstm,0.009445927573635235,0.02361161512570044
7,cnn_ann_lstm,0.003309729721519529,0.0079083518094004
7,forecast_head_6in,0.057423453068069646,0.06779014020665268
