lookback,horizon_days,ann_lstm_mae,persistence_mae,skill_vs_persistence,n_test,n_train,best_val_loss,epochs_run
7,1,0.15808284272571455,0.15304885020905717,-0.03289141022478237,1945,16010,0.001404628506861627,40
7,3,0.2368380109457094,0.23745502972051233,0.0025984658043638476,1945,16010,0.001404628506861627,40
7,7,0.31737705313515857,0.32439075460164285,0.021621150932914945,1945,16010,0.001404628506861627,40
14,1,0.1551476108476286,0.15346073729829637,-0.0109922158529272,1910,15975,0.0013852068223059177,38
14,3,0.2360446913859451,0.2380104883803123,0.008259287259753334,1910,15975,0.0013852068223059177,38
14,7,0.31957453826069837,0.3254764476995818,0.018133138298015772,1910,15975,0.0013852068223059177,38
30,1,0.16052229337557108,0.1563442626286074,-0.02672327514114481,1830,15895,0.0013249781914055347,23
30,3,0.23850946401572634,0.23999455457176666,0.0061880177185279495,1830,15895,0.0013249781914055347,23
30,7,0.3165448560251403,0.323267773070622,0.020796743769484705,1830,15895,0.0013249781914055347,23
60,1,0.1551551381117177,0.15630952290126254,0.007385249267724103,1680,15745,0.0014275034191086888,45
60,3,0.22921550816865202,0.2396666856039138,0.04360713467091526,1680,15745,0.0014275034191086888,45
60,7,0.2960060086594452,0.3197797797975086,0.07434419760097855,1680,15745,0.0014275034191086888,45
90,1,0.15981660753001586,0.15924836576374526,-0.003568273768747021,1530,15595,0.0016315015964210033,30
90,3,0.2321418133847465,0.24413075041926763,0.049108672356642735,1530,15595,0.0016315015964210033,30
90,7,0.29821532209480517,0.33020917231740515,0.0968896472441011,1530,15595,0.0016315015964210033,30
